"time","country","province","cum_confirm","cum_heal","cum_dead","suspected"
2020-03-19,"United Kingdom","Wales",149,0,0,NA
2020-03-19,"United Kingdom","Northern Ireland",68,0,0,NA
2020-03-19,"United Kingdom","Unpublished sources",18,67,44,NA
2020-03-20,"United Kingdom","England",2756,0,128,NA
2020-03-20,"United Kingdom","Scotland",266,0,6,NA
2020-03-20,"United Kingdom","Wales",170,0,2,NA
2020-03-20,"United Kingdom","Northern Ireland",77,0,1,NA
2020-03-20,"United Kingdom","Unpublished sources",0,76,7,NA
2020-03-21,"United Kingdom","England",3384,0,128,NA
2020-03-21,"United Kingdom","Scotland",322,0,6,NA
2020-03-21,"United Kingdom","Wales",191,0,3,NA
2020-03-21,"United Kingdom","Northern Ireland",86,0,1,NA
2020-03-21,"United Kingdom","Unpublished sources",31,76,39,NA
2020-03-22,"United Kingdom","England",4257,0,181,NA
2020-03-22,"United Kingdom","Scotland",373,0,7,NA
2020-03-22,"United Kingdom","Wales",280,0,5,NA
2020-03-22,"United Kingdom","Northern Ireland",108,0,1,NA
2020-03-22,"United Kingdom","Unpublished sources",49,93,39,NA
2020-03-23,"United Kingdom","England",4792,0,181,NA
2020-03-23,"United Kingdom","Scotland",416,0,7,NA
2020-03-23,"United Kingdom","Wales",347,0,5,NA
2020-03-23,"United Kingdom","Northern Ireland",128,0,1,NA
2020-03-23,"United Kingdom","Unpublished sources",65,135,95,NA
2020-03-16,"United Kingdom","England",0,0,0,NA
2020-03-16,"United Kingdom","Scotland",0,0,0,NA
2020-03-16,"United Kingdom","Wales",0,0,0,NA
2020-03-16,"United Kingdom","Northern Ireland",0,0,0,NA
2020-03-16,"United Kingdom","Unpublished sources",0,0,0,NA
2020-03-17,"United Kingdom","England",0,0,0,NA
2020-03-17,"United Kingdom","Scotland",0,0,0,NA
2020-03-17,"United Kingdom","Wales",0,0,0,NA
2020-03-17,"United Kingdom","Northern Ireland",0,0,0,NA
2020-03-17,"United Kingdom","Unpublished sources",0,0,0,NA
2020-03-18,"United Kingdom","England",1196,0,48,NA
2020-03-18,"United Kingdom","Scotland",153,0,1,NA
2020-03-18,"United Kingdom","Wales",124,0,0,NA
2020-03-18,"United Kingdom","Northern Ireland",52,0,0,NA
2020-03-18,"United Kingdom","Unpublished sources",424,52,21,NA
2020-03-19,"United Kingdom","England",2182,0,48,NA
2020-03-19,"United Kingdom","Scotland",227,0,1,NA
2020-03-19,"United Kingdom","Wales",149,0,0,NA
2020-03-19,"United Kingdom","Northern Ireland",68,0,0,NA
2020-03-19,"United Kingdom","Unpublished sources",18,67,44,NA
2020-03-20,"United Kingdom","England",2756,0,128,NA
2020-03-20,"United Kingdom","Scotland",266,0,6,NA
2020-03-20,"United Kingdom","Wales",170,0,2,NA
2020-03-20,"United Kingdom","Northern Ireland",77,0,1,NA
2020-03-20,"United Kingdom","Unpublished sources",0,76,7,NA
2020-03-21,"United Kingdom","England",3384,0,128,NA
2020-03-21,"United Kingdom","Scotland",322,0,6,NA
2020-03-21,"United Kingdom","Wales",191,0,3,NA
2020-03-21,"United Kingdom","Northern Ireland",86,0,1,NA
2020-03-21,"United Kingdom","Unpublished sources",31,76,39,NA
2020-03-22,"United Kingdom","England",4257,0,181,NA
2020-03-22,"United Kingdom","Scotland",373,0,7,NA
2020-03-22,"United Kingdom","Wales",280,0,5,NA
2020-03-22,"United Kingdom","Northern Ireland",108,0,1,NA
2020-03-22,"United Kingdom","Unpublished sources",49,93,39,NA
2020-03-23,"United Kingdom","England",4792,0,181,NA
2020-03-23,"United Kingdom","Scotland",416,0,7,NA
2020-03-23,"United Kingdom","Wales",347,0,5,NA
2020-03-23,"United Kingdom","Northern Ireland",128,0,1,NA
2020-03-23,"United Kingdom","Unpublished sources",65,135,95,NA
2020-03-24,"United Kingdom","England",6483,0,386,NA
2020-03-24,"United Kingdom","Scotland",584,0,16,NA
2020-03-24,"United Kingdom","Wales",478,0,17,NA
2020-03-24,"United Kingdom","Northern Ireland",172,0,3,NA
2020-03-24,"United Kingdom","Unpublished sources",76,140,135,NA
2020-03-16,"United Kingdom","England",0,0,0,NA
2020-03-16,"United Kingdom","Scotland",0,0,0,NA
2020-03-16,"United Kingdom","Wales",0,0,0,NA
2020-03-16,"United Kingdom","Northern Ireland",0,0,0,NA
2020-03-16,"United Kingdom","Unpublished sources",0,0,0,NA
2020-03-17,"United Kingdom","England",0,0,0,NA
2020-03-17,"United Kingdom","Scotland",0,0,0,NA
2020-03-17,"United Kingdom","Wales",0,0,0,NA
2020-03-17,"United Kingdom","Northern Ireland",0,0,0,NA
2020-03-17,"United Kingdom","Unpublished sources",0,0,0,NA
2020-03-18,"United Kingdom","England",1196,0,48,NA
2020-03-18,"United Kingdom","Scotland",153,0,1,NA
2020-03-18,"United Kingdom","Wales",124,0,0,NA
2020-03-18,"United Kingdom","Northern Ireland",52,0,0,NA
2020-03-18,"United Kingdom","Unpublished sources",424,52,21,NA
2020-03-19,"United Kingdom","England",2182,0,48,NA
2020-03-19,"United Kingdom","Scotland",227,0,1,NA
2020-03-19,"United Kingdom","Wales",149,0,0,NA
2020-03-19,"United Kingdom","Northern Ireland",68,0,0,NA
2020-03-19,"United Kingdom","Unpublished sources",18,67,44,NA
2020-03-20,"United Kingdom","England",2756,0,128,NA
2020-03-20,"United Kingdom","Scotland",266,0,6,NA
2020-03-20,"United Kingdom","Wales",170,0,2,NA
2020-03-20,"United Kingdom","Northern Ireland",77,0,1,NA
2020-03-20,"United Kingdom","Unpublished sources",0,76,7,NA
2020-03-21,"United Kingdom","England",3384,0,128,NA
2020-03-21,"United Kingdom","Scotland",322,0,6,NA
2020-03-21,"United Kingdom","Wales",191,0,3,NA
